Russian,English,Example
Аа,a,like ar in far
Бб,be,like b in box
Вв,ve,like v in voice
Гг,ge,like g in go
Дд,de,like d in day
Ее,ye,like ye in yet or e in exit
Ёё,yo,like yo in your
Жж,zhe,like s in pleasure
Зз,ze,like z in zoo
Ии,ee,like ee in meet
Йй,ee kratkoye (short i),like y in boy
Кк,ka,like k in key or c in cat
Лл,el,like l in lamp
Мм,em,like m in man
Нн,en,like n in note
Оо,o,like o in not
Пп,pe,like p in pet
Рр,er,like r in rock (but rolled)
Сс,es,like s in sun
Тт,te,like t in table
Уу,oo,like oo in moon
Фф,ef,like f in food
Хх,kha,like ch in Scottish loch
Цц,tse,like ts in boots
Чч,che,like ch in chat
Шш,sha,like sh in short
Щщ,shcha,like sh_ch in fresh_cheese
ъ,tviordiy znak (hard sign),has no sound
ы,ih*,like i in ill
ь,myagkiy znak (soft sign),has no sound
Ээ,e,like e in end
Юю,yoo,like u in use
Яя,ya,like ya in yard
