Rank,Field,Early Career Pay,Mid-Career Pay,% High Meaning
1,Petroleum Engineering,"$93,200","$187,300",67%
2,Operations Research & Industrial Engineering,"$84,800","$170,400",28%
3,Electrical Engineering & Computer Science (EECS),"$108,500","$159,300",46%
4,Interaction Design,"$68,300","$155,800",55%
5,Public Accounting,"$59,800","$147,700",47%
6,Operations Research,"$83,500","$147,400",54%
7,Applied Economics and Management,"$66,100","$146,400",67%
8,Business Computing (BC),"$73,000","$143,600",-
9,Actuarial Mathematics,"$64,300","$143,400",51%
10,Electrical Power Engineering,"$76,100","$142,600",68%
11,Information & Computer Science,"$58,600","$140,900",62%
12,Aeronautics & Astronautics,"$77,600","$139,600",56%
13,Systems Engineering,"$77,700","$139,200",53%
14,Econometrics,"$64,200","$139,000",35%
15,Pharmacy,"$68,600","$138,700",78%
16,Aerospace Studies,"$55,800","$136,600",-
17,Building Science,"$53,800","$135,900",53%
17,Chemical Engineering,"$76,900","$135,900",55%
19,Cognitive Science,"$68,700","$135,200",42%
20,Actuarial Science,"$67,700","$134,400",43%
21,Political Economy,"$65,100","$133,500",29%
22,Computer Systems Engineering,"$79,000","$133,200",51%
23,Electrical & Computer Engineering (ECE),"$78,100","$131,600",49%
24,Computer Science (CS) & Engineering,"$79,400","$131,300",44%
24,Marine Engineering,"$79,900","$131,300",60%
26,Aeronautical Engineering,"$74,700","$131,100",66%
27,Computer Engineering (CE),"$79,000","$131,000",46%
28,Naval Architecture & Marine Engineering,"$74,400","$130,700",49%
29,Entrepreneurship & Marketing,"$51,400","$129,800",45%
30,Corporate Accounting & Finance,"$65,200","$129,700",55%
31,Mechatronics,"$72,800","$129,600",48%
32,Nuclear Engineering,"$76,400","$129,400",62%
33,Electrical Engineering (EE),"$75,600","$127,700",54%
33,Foreign Affairs,"$54,800","$127,700",36%
35,Marine Transportation Management,"$71,100","$127,500",-
36,Mechanical & Aeronautical Engineering,"$70,900","$126,900",60%
37,Welding Engineering,"$81,000","$126,600",56%
38,Instrumentation & Control Engineering,"$73,100","$126,400",-
39,Computational & Applied Mathematics,"$75,500","$126,000",45%
40,Electrical & Electronics Engineering (EEE),"$74,700","$125,800",56%
41,Aerospace Engineering,"$74,300","$125,700",55%
42,Astronomy,"$66,600","$125,400",47%
42,Optical Science & Engineering,"$71,000","$125,400",-
42,Quantitative Business Analysis,"$74,000","$125,400",37%
45,Computer Science (CS) & Mathematics,"$70,500","$125,100",43%
46,Industrial & Systems Engineering,"$73,100","$124,800",48%
47,Economics and Mathematics,"$68,200","$124,100",35%
48,Biomedical Engineering (BME),"$71,300","$123,600",72%
48,Managerial Economics,"$65,200","$123,600",41%
50,Computer Science (CS),"$75,100","$123,400",42%
50,Physics & Astronomy,"$56,500","$123,400",36%
52,Petroleum Land Management,"$59,300","$123,100",-
52,Bioscience,"$49,200","$123,100",-
54,Electronics & Communications Engineering,"$67,400","$122,900",51%
55,Control Engineering,"$69,700","$122,800",61%
56,Pharmacology,"$57,700","$122,700",-
57,Business Analysis,"$63,200","$122,300",46%
58,Aeronautical Science & Engineering,"$56,000","$122,200",50%
58,Metallurgical Engineering,"$81,800","$122,200",61%
60,Engineering Science,"$67,900","$122,100",45%
61,Applied Mathematics,"$68,300","$122,000",40%
62,Chemical & Biomolecular Engineering,"$76,800","$121,900",48%
63,Materials Science,"$67,100","$121,800",-
64,Engineering,"$69,900","$121,700",59%
65,Ocean Engineering (OE),"$69,400","$121,400",51%
66,Bioengineering (BioE),"$70,900","$121,300",67%
67,Aeronautical/Aerospace Engineering Technology,"$76,900","$121,200",53%
68,Integrated Science & Technology,"$65,200","$121,100",56%
69,Operations Management & Information Systems,"$66,100","$120,900",38%
